BORO_NM,hour,count
BRONX,0,50504
BRONX,1,37475
BRONX,2,28129
BRONX,3,22807
BRONX,4,19805
BRONX,5,15477
BRONX,6,16026
BRONX,7,22716
BRONX,8,35317
BRONX,9,37549
BRONX,10,39182
BRONX,11,42744
BRONX,12,54213
BRONX,13,51505
BRONX,14,59172
BRONX,15,68313
BRONX,16,63544
BRONX,17,62952
BRONX,18,66377
BRONX,19,66863
BRONX,20,66325
BRONX,21,61422
BRONX,22,58498
BRONX,23,52685
BROOKLYN,0,75631
BROOKLYN,1,52047
BROOKLYN,2,40765
BROOKLYN,3,33121
BROOKLYN,4,28235
BROOKLYN,5,21309
BROOKLYN,6,22951
BROOKLYN,7,32013
BROOKLYN,8,52853
BROOKLYN,9,56518
BROOKLYN,10,58172
BROOKLYN,11,59555
BROOKLYN,12,81219
BROOKLYN,13,69693
BROOKLYN,14,78846
BROOKLYN,15,90120
BROOKLYN,16,85085
BROOKLYN,17,85092
BROOKLYN,18,88176
BROOKLYN,19,86861
BROOKLYN,20,89346
BROOKLYN,21,82827
BROOKLYN,22,77858
BROOKLYN,23,71432
MANHATTAN,0,53434
MANHATTAN,1,44246
MANHATTAN,2,37355
MANHATTAN,3,32641
MANHATTAN,4,27185
MANHATTAN,5,15802
MANHATTAN,6,14238
MANHATTAN,7,20206
MANHATTAN,8,36406
MANHATTAN,9,44985
MANHATTAN,10,45237
MANHATTAN,11,47920
MANHATTAN,12,70042
MANHATTAN,13,62846
MANHATTAN,14,69524
MANHATTAN,15,77460
MANHATTAN,16,75041
MANHATTAN,17,74486
MANHATTAN,18,74372
MANHATTAN,19,69251
MANHATTAN,20,63104
MANHATTAN,21,54922
MANHATTAN,22,51093
MANHATTAN,23,49876
QUEENS,0,46657
QUEENS,1,34647
QUEENS,2,28456
QUEENS,3,25061
QUEENS,4,24434
QUEENS,5,16525
QUEENS,6,16630
QUEENS,7,24199
QUEENS,8,36084
QUEENS,9,38250
QUEENS,10,40792
QUEENS,11,38795
QUEENS,12,56879
QUEENS,13,44082
QUEENS,14,50855
QUEENS,15,57516
QUEENS,16,53876
QUEENS,17,54558
QUEENS,18,56755
QUEENS,19,55081
QUEENS,20,56338
QUEENS,21,52599
QUEENS,22,50512
QUEENS,23,47110
"STATEN ISLAND",0,11842
"STATEN ISLAND",1,8101
"STATEN ISLAND",2,6296
"STATEN ISLAND",3,4849
"STATEN ISLAND",4,3845
"STATEN ISLAND",5,2859
"STATEN ISLAND",6,3141
"STATEN ISLAND",7,5159
"STATEN ISLAND",8,8573
"STATEN ISLAND",9,9075
"STATEN ISLAND",10,10002
"STATEN ISLAND",11,9590
"STATEN ISLAND",12,14934
"STATEN ISLAND",13,11210
"STATEN ISLAND",14,12963
"STATEN ISLAND",15,14177
"STATEN ISLAND",16,13079
"STATEN ISLAND",17,13370
"STATEN ISLAND",18,14125
"STATEN ISLAND",19,13750
"STATEN ISLAND",20,14503
"STATEN ISLAND",21,12831
"STATEN ISLAND",22,12958
"STATEN ISLAND",23,11522
