BORO_NM,RPT_DT,count
BRONX,2006,114530
BRONX,2007,117888
BRONX,2008,114632
BRONX,2009,113195
BRONX,2010,112146
BRONX,2011,108798
BRONX,2012,106892
BRONX,2013,104497
BRONX,2014,105937
BRONX,2015,104999
BROOKLYN,2006,160322
BROOKLYN,2007,156917
BROOKLYN,2008,156275
BROOKLYN,2009,151133
BROOKLYN,2010,152390
BROOKLYN,2011,151703
BROOKLYN,2012,155037
BROOKLYN,2013,150337
BROOKLYN,2014,148837
BROOKLYN,2015,143262
MANHATTAN,2006,129889
MANHATTAN,2007,130803
MANHATTAN,2008,128874
MANHATTAN,2009,124894
MANHATTAN,2010,121809
MANHATTAN,2011,115764
MANHATTAN,2012,119648
MANHATTAN,2013,118190
MANHATTAN,2014,113260
MANHATTAN,2015,113118
QUEENS,2006,107332
QUEENS,2007,106556
QUEENS,2008,103440
QUEENS,2009,99501
QUEENS,2010,99195
QUEENS,2011,98870
QUEENS,2012,99144
QUEENS,2013,101484
QUEENS,2014,100425
QUEENS,2015,95055
"STATEN ISLAND",2006,27515
"STATEN ISLAND",2007,26216
"STATEN ISLAND",2008,26813
"STATEN ISLAND",2009,24333
"STATEN ISLAND",2010,24188
"STATEN ISLAND",2011,23441
"STATEN ISLAND",2012,23620
"STATEN ISLAND",2013,22660
"STATEN ISLAND",2014,22860
"STATEN ISLAND",2015,22144
