Number, Time, Description
33103, 89.5599, THEFT-FRAUD
10304, 63.9077, RAPE
20607, 45.7155, FRAUDS
36943, 36.0862, SEX CRIMES
3354, 17.0143, OTHER STATE LAWS (NON PENAL LA
191711, 16.7373, OFF. AGNST PUB ORD SENSBLTY &
1643, 6.4194, KIDNAPPING & RELATED OFFENSES
385490, 4.8313, HARRASSMENT 2
613, 4.1240, PROSTITUTION & RELATED OFFENSES
635186, 3.1766, PETIT LARCENY
92529, 2.5223, GRAND LARCENY OF MOTOR VEHICLE
173395, 2.3023, BURGLARY
115, 0.0696, ESCAPE 3
58, 0.0345, NEW YORK CITY HEALTH CODE
57, 0.0000, HOMICIDE-NEGLIGENT-VEHICLE
13, 0.0000, LOITERING/DEVIATE SEX
144, 0.0069, LOITERING/GAMBLING (CARDS, DIC
237, 0.0000, JOSTLING

