law_cat_cd,hour,count
FELONY,0,84429
FELONY,1,57674
FELONY,2,48383
FELONY,3,42130
FELONY,4,37163
FELONY,5,25802
FELONY,6,26536
FELONY,7,34131
FELONY,8,56304
FELONY,9,62652
FELONY,10,57791
FELONY,11,57117
FELONY,12,89803
FELONY,13,68749
FELONY,14,77713
FELONY,15,89159
FELONY,16,83190
FELONY,17,83584
FELONY,18,85646
FELONY,19,82261
FELONY,20,81360
FELONY,21,76512
FELONY,22,74933
FELONY,23,73198
MISDEMEANOR,0,135486
MISDEMEANOR,1,104778
MISDEMEANOR,2,81944
MISDEMEANOR,3,67973
MISDEMEANOR,4,59322
MISDEMEANOR,5,40106
MISDEMEANOR,6,38843
MISDEMEANOR,7,54551
MISDEMEANOR,8,87293
MISDEMEANOR,9,96811
MISDEMEANOR,10,106138
MISDEMEANOR,11,110546
MISDEMEANOR,12,151478
MISDEMEANOR,13,137727
MISDEMEANOR,14,156116
MISDEMEANOR,15,175856
MISDEMEANOR,16,170373
MISDEMEANOR,17,170511
MISDEMEANOR,18,176667
MISDEMEANOR,19,173935
MISDEMEANOR,20,173153
MISDEMEANOR,21,156223
MISDEMEANOR,22,148536
MISDEMEANOR,23,136445
VIOLATION,0,18171
VIOLATION,1,14079
VIOLATION,2,10688
VIOLATION,3,8379
VIOLATION,4,7033
VIOLATION,5,6070
VIOLATION,6,7609
VIOLATION,7,15618
VIOLATION,8,25653
VIOLATION,9,26930
VIOLATION,10,29473
VIOLATION,11,30956
VIOLATION,12,36041
VIOLATION,13,32879
VIOLATION,14,37546
VIOLATION,15,42597
VIOLATION,16,37086
VIOLATION,17,36386
VIOLATION,18,37519
VIOLATION,19,35635
VIOLATION,20,35128
VIOLATION,21,31885
VIOLATION,22,27472
VIOLATION,23,23003
