Average_crimes,depth
1424.0378,0
1421.7299,1
1408.4677,2
1420.6415,3
1387.6452,4
1424.3400,5
1437.2432,6
1332.2500,7
1404.9400,8
1309.9333,9
1407.9615,10
1419.9231,11
1419.4444,12
1377.4091,13
1378.6500,14
1374.0000,15
1384.0000,16
1373.8000,17
1388.0909,18
1344.1250,19
1190.4000,20
1426.0000,21
1352.6667,22
1384.7500,23
1362.6250,24
1354.4211,25
1350.5714,26
1360.2500,27
1399.3636,28
1431.6667,29
1279.8696,30
1276.0000,31
1384.0000,32
1484.0000,33
1339.0000,34
1214.8750,35
1197.7500,36
1164.5000,37
1307.7500,38
1349.2500,39
1312.0000,40
1329.1667,41
1398.5000,42
1275.0000,43
992.0000,44
1513.5000,45
1332.0000,46
1292.0000,49
1278.5000,50
1314.6111,51
1522.3333,52
1311.0000,53
1453.0000,55
1288.0000,56
695.0000,57
1372.5000,58
1353.3333,59
1342.3333,60
1235.5000,61
1213.3333,62
1437.6667,64
1364.0000,66
1259.0000,71
1184.3333,73
1266.0000,74
978.0000,75
1266.0833,76
1370.0000,77
1358.8000,80
1252.0000,82
1217.0000,83
1235.0000,85
1206.0000,87
1166.0000,90
1353.0000,91
1264.0000,92
1062.0000,96
1020.0000,98
1331.5000,100
664.0000,101
1307.1111,102
1222.5000,104
1018.0000,105
1239.0000,106
1048.0000,114
1205.0000,118
1220.0000,123
1154.0000,124
1110.0000,125
1140.3333,126
1257.3333,127
903.0000,128
1191.0000,130
1376.0000,133
1188.0000,134
846.0000,137
1108.0000,144
1103.0000,146
950.0000,148
1249.5556,150
1201.3333,152
1250.0000,156
991.0000,159
1090.0000,166
1197.0000,167
1182.0000,177
1262.1429,178
1113.0000,180
1238.0000,184
1050.0000,189
1058.5000,192
1182.3636,200
969.5000,202
1293.9167,203
1159.0000,206
1109.0000,224
985.0000,229
1171.3333,230
1112.0000,232
986.5000,241
1079.0000,246
1315.7500,250
1254.0000,254
1105.0000,263
1420.0000,269
1121.0000,272
1281.0000,279
1206.3333,280
1377.0000,282
1114.5000,290
930.0000,291
1397.0000,292
1066.0000,294
1174.0000,300
801.0000,303
1376.0000,305
741.0000,318
1086.0000,322
1300.0000,330
1366.0000,332
1120.0000,333
1265.0000,336
568.0000,338
740.0000,339
863.0000,355
1123.0000,356
945.0000,358
1105.0000,368
1160.0000,380
1160.0000,381
914.0000,385
1264.0000,386
1117.0000,388
1044.0000,400
1256.6667,406
1032.0000,410
879.0000,419
1144.0000,423
1060.0000,430
1130.5000,432
1226.0000,437
1161.0000,447
924.0000,457
1098.0000,460
1174.0000,463
1180.0000,480
1220.0000,483
1222.0000,489
1271.0000,502
1157.0000,504
1207.0000,508
1178.0000,533
1029.0000,540
1057.0000,544
898.0000,586
788.0000,678
334.0000,719
864.0000,774
612.0000,959
