PREM_TYP_DESC,year,count
"BAR/NIGHT CLUB",2006,5444
"BAR/NIGHT CLUB",2007,5388
"BAR/NIGHT CLUB",2008,5597
"BAR/NIGHT CLUB",2009,5350
"BAR/NIGHT CLUB",2010,5496
"BAR/NIGHT CLUB",2011,5533
"BAR/NIGHT CLUB",2012,6301
"BAR/NIGHT CLUB",2013,6667
"BAR/NIGHT CLUB",2014,5938
"BAR/NIGHT CLUB",2015,5351
"CHAIN STORE",2006,8378
"CHAIN STORE",2007,8698
"CHAIN STORE",2008,9666
"CHAIN STORE",2009,8790
"CHAIN STORE",2010,8795
"CHAIN STORE",2011,9015
"CHAIN STORE",2012,8918
"CHAIN STORE",2013,9783
"CHAIN STORE",2014,10902
"CHAIN STORE",2015,12134
CLOTHING/BOUTIQUE,2006,3547
CLOTHING/BOUTIQUE,2007,3291
CLOTHING/BOUTIQUE,2008,3322
CLOTHING/BOUTIQUE,2009,4540
CLOTHING/BOUTIQUE,2010,4746
CLOTHING/BOUTIQUE,2011,4480
CLOTHING/BOUTIQUE,2012,4506
CLOTHING/BOUTIQUE,2013,4758
CLOTHING/BOUTIQUE,2014,4545
CLOTHING/BOUTIQUE,2015,4443
"COMMERCIAL BUILDING",2006,16577
"COMMERCIAL BUILDING",2007,15300
"COMMERCIAL BUILDING",2008,13028
"COMMERCIAL BUILDING",2009,12644
"COMMERCIAL BUILDING",2010,11832
"COMMERCIAL BUILDING",2011,11787
"COMMERCIAL BUILDING",2012,12310
"COMMERCIAL BUILDING",2013,12770
"COMMERCIAL BUILDING",2014,12936
"COMMERCIAL BUILDING",2015,12313
"DEPARTMENT STORE",2006,6907
"DEPARTMENT STORE",2007,8239
"DEPARTMENT STORE",2008,9193
"DEPARTMENT STORE",2009,9459
"DEPARTMENT STORE",2010,10345
"DEPARTMENT STORE",2011,10810
"DEPARTMENT STORE",2012,9904
"DEPARTMENT STORE",2013,10355
"DEPARTMENT STORE",2014,10727
"DEPARTMENT STORE",2015,11032
GROCERY/BODEGA,2006,4547
GROCERY/BODEGA,2007,4926
GROCERY/BODEGA,2008,4644
GROCERY/BODEGA,2009,4726
GROCERY/BODEGA,2010,4975
GROCERY/BODEGA,2011,5497
GROCERY/BODEGA,2012,6009
GROCERY/BODEGA,2013,6707
GROCERY/BODEGA,2014,6898
GROCERY/BODEGA,2015,7293
OTHER,2006,14089
OTHER,2007,14381
OTHER,2008,12903
OTHER,2009,11987
OTHER,2010,13532
OTHER,2011,14208
OTHER,2012,14064
OTHER,2013,12982
OTHER,2014,13007
OTHER,2015,13609
PARK/PLAYGROUND,2006,4858
PARK/PLAYGROUND,2007,5171
PARK/PLAYGROUND,2008,5694
PARK/PLAYGROUND,2009,5762
PARK/PLAYGROUND,2010,6729
PARK/PLAYGROUND,2011,6110
PARK/PLAYGROUND,2012,6829
PARK/PLAYGROUND,2013,7217
PARK/PLAYGROUND,2014,6543
PARK/PLAYGROUND,2015,6020
"PUBLIC SCHOOL",2006,8652
"PUBLIC SCHOOL",2007,8131
"PUBLIC SCHOOL",2008,7682
"PUBLIC SCHOOL",2009,7031
"PUBLIC SCHOOL",2010,6972
"PUBLIC SCHOOL",2011,6472
"PUBLIC SCHOOL",2012,6108
"PUBLIC SCHOOL",2013,5577
"PUBLIC SCHOOL",2014,5110
"PUBLIC SCHOOL",2015,4786
"RESIDENCE - APT. HOUSE",2006,104929
"RESIDENCE - APT. HOUSE",2007,101685
"RESIDENCE - APT. HOUSE",2008,102911
"RESIDENCE - APT. HOUSE",2009,108104
"RESIDENCE - APT. HOUSE",2010,106040
"RESIDENCE - APT. HOUSE",2011,103360
"RESIDENCE - APT. HOUSE",2012,108301
"RESIDENCE - APT. HOUSE",2013,107089
"RESIDENCE - APT. HOUSE",2014,107779
"RESIDENCE - APT. HOUSE",2015,104221
"RESIDENCE - PUBLIC HOUSING",2006,35346
"RESIDENCE - PUBLIC HOUSING",2007,36427
"RESIDENCE - PUBLIC HOUSING",2008,38666
"RESIDENCE - PUBLIC HOUSING",2009,40401
"RESIDENCE - PUBLIC HOUSING",2010,39674
"RESIDENCE - PUBLIC HOUSING",2011,39280
"RESIDENCE - PUBLIC HOUSING",2012,39697
"RESIDENCE - PUBLIC HOUSING",2013,38745
"RESIDENCE - PUBLIC HOUSING",2014,36892
"RESIDENCE - PUBLIC HOUSING",2015,36617
RESIDENCE-HOUSE,2006,64321
RESIDENCE-HOUSE,2007,64949
RESIDENCE-HOUSE,2008,56786
RESIDENCE-HOUSE,2009,45342
RESIDENCE-HOUSE,2010,44700
RESIDENCE-HOUSE,2011,45217
RESIDENCE-HOUSE,2012,46582
RESIDENCE-HOUSE,2013,46584
RESIDENCE-HOUSE,2014,46113
RESIDENCE-HOUSE,2015,43808
RESTAURANT/DINER,2006,5500
RESTAURANT/DINER,2007,5614
RESTAURANT/DINER,2008,5279
RESTAURANT/DINER,2009,4903
RESTAURANT/DINER,2010,5343
RESTAURANT/DINER,2011,5200
RESTAURANT/DINER,2012,5959
RESTAURANT/DINER,2013,6264
RESTAURANT/DINER,2014,6196
RESTAURANT/DINER,2015,6114
STREET,2006,183618
STREET,2007,184462
STREET,2008,187411
STREET,2009,179709
STREET,2010,175970
STREET,2011,168292
STREET,2012,164650
STREET,2013,157409
STREET,2014,151814
STREET,2015,144600
"TRANSIT - NYC SUBWAY",2006,10101
"TRANSIT - NYC SUBWAY",2007,10504
"TRANSIT - NYC SUBWAY",2008,10829
"TRANSIT - NYC SUBWAY",2009,10690
"TRANSIT - NYC SUBWAY",2010,10817
"TRANSIT - NYC SUBWAY",2011,10357
"TRANSIT - NYC SUBWAY",2012,10150
"TRANSIT - NYC SUBWAY",2013,10392
"TRANSIT - NYC SUBWAY",2014,10661
"TRANSIT - NYC SUBWAY",2015,11527
