no_of_months,count
0,3606464
1,31892
2,14932
3,8846
4,5751
5,4348
6,3421
7,2395
8,1890
9,1694
10,1292
11,1456
12,3447
13,575
14,530
15,471
16,380
17,336
18,343
19,281
20,264
21,243
22,223
23,310
24,633
25,178
26,166
27,149
28,141
29,142
30,120
31,93
32,102
33,91
34,87
35,136
36,241
37,60
38,62
39,60
40,51
41,66
42,52
43,43
44,50
45,49
46,50
47,76
48,86
49,43
50,39
51,34
52,29
53,35
54,20
55,24
56,23
57,21
58,27
59,47
60,57
61,18
62,27
63,21
64,16
65,21
66,16
67,13
68,9
69,19
70,13
71,14
72,15
73,11
74,9
75,9
76,14
77,3
78,9
79,8
80,8
81,6
82,10
83,6
84,5
85,5
86,7
87,6
88,4
89,10
90,5
91,5
92,4
93,2
94,4
95,4
96,5
97,2
98,2
99,5
100,2
101,4
102,1
104,3
106,1
107,3
108,2
109,2
110,2
112,2
114,1
972,1
