period,count
"2006 January",45296
"2006 February",38230
"2006 March",45217
"2006 April",43546
"2006 May",46824
"2006 June",46214
"2006 July",47278
"2006 August",47295
"2006 September",45663
"2006 October",46870
"2006 November",43298
"2006 December",43293
"2007 January",45108
"2007 February",36914
"2007 March",43684
"2007 April",42528
"2007 May",47621
"2007 June",46296
"2007 July",47297
"2007 August",47634
"2007 September",47055
"2007 October",48074
"2007 November",42830
"2007 December",42160
"2008 January",45390
"2008 February",39742
"2008 March",44186
"2008 April",43087
"2008 May",45263
"2008 June",45594
"2008 July",46583
"2008 August",47097
"2008 September",44812
"2008 October",45387
"2008 November",41101
"2008 December",40433
"2009 January",41081
"2009 February",37408
"2009 March",42821
"2009 April",41401
"2009 May",44373
"2009 June",43355
"2009 July",45228
"2009 August",46043
"2009 September",43552
"2009 October",44717
"2009 November",41679
"2009 December",39288
"2010 January",42911
"2010 February",34186
"2010 March",42539
"2010 April",42909
"2010 May",44929
"2010 June",44507
"2010 July",45169
"2010 August",44307
"2010 September",44418
"2010 October",45826
"2010 November",41269
"2010 December",36755
"2011 January",38257
"2011 February",36538
"2011 March",41767
"2011 April",41053
"2011 May",43740
"2011 June",43791
"2011 July",44901
"2011 August",42957
"2011 September",41419
"2011 October",41980
"2011 November",41188
"2011 December",40607
"2012 January",41800
"2012 February",39170
"2012 March",43179
"2012 April",41586
"2012 May",44844
"2012 June",43173
"2012 July",45208
"2012 August",45561
"2012 September",42602
"2012 October",41900
"2012 November",35860
"2012 December",39245
"2013 January",39928
"2013 February",34783
"2013 March",39200
"2013 April",40124
"2013 May",42666
"2013 June",42045
"2013 July",44373
"2013 August",44295
"2013 September",43214
"2013 October",44385
"2013 November",40495
"2013 December",39450
"2014 January",39134
"2014 February",34476
"2014 March",40578
"2014 April",39687
"2014 May",44399
"2014 June",42882
"2014 July",44887
"2014 August",44825
"2014 September",42762
"2014 October",43968
"2014 November",37804
"2014 December",34961
"2015 January",34477
"2015 February",30954
"2015 March",37666
"2015 April",39197
"2015 May",42448
"2015 June",41102
"2015 July",43934
"2015 August",44322
"2015 September",41066
"2015 October",40583
"2015 November",37258
"2015 December",35569
