period,incidences,month,year,rate
2006January,45351,1,2006,5.5
2006February,38308,2,2006,5.7
2006March,45529,3,2006,5.3
2006April,43621,4,2006,5.1
2006May,47106,5,2006,4.9
2006June,46199,6,2006,4.9
2006July,47088,7,2006,5.5
2006August,47729,8,2006,5
2006September,45606,9,2006,4.5
2006October,46919,10,2006,4.5
2006November,43818,11,2006,4.5
2006December,42703,12,2006,4.4
2007January,45203,1,2007,4.7
2007February,37062,2,2007,4.8
2007March,43926,3,2007,4.9
2007April,42709,4,2007,5
2007May,47919,5,2007,5.1
2007June,46155,6,2007,5.2
2007July,47239,7,2007,5.3
2007August,47774,8,2007,5.3
2007September,46859,9,2007,5.3
2007October,48660,10,2007,5.2
2007November,42811,11,2007,5.2
2007December,42063,12,2007,5.2
2008January,45370,1,2008,5.2
2008February,39592,2,2008,5.2
2008March,44268,3,2008,5.1
2008April,43531,4,2008,5.2
2008May,45393,5,2008,5.2
2008June,45599,6,2008,5.3
2008July,46734,7,2008,5.5
2008August,46991,8,2008,5.7
2008September,45160,9,2008,6
2008October,45859,10,2008,6.3
2008November,40923,11,2008,6.7
2008December,40614,12,2008,7.2
2009January,40875,1,2009,7.7
2009February,37579,2,2009,8.2
2009March,43319,3,2009,8.7
2009April,41646,4,2009,8.9
2009May,44644,5,2009,9.4
2009June,43343,6,2009,9.6
2009July,45468,7,2009,9.8
2009August,46290,8,2009,10
2009September,43699,9,2009,10.1
2009October,44785,10,2009,10.2
2009November,42023,11,2009,10.2
2009December,39385,12,2009,10.1
2010January,42415,1,2010,10.1
2010February,34054,2,2010,10
2010March,42975,3,2010,9.9
2010April,43054,4,2010,9.7
2010May,44773,5,2010,9.6
2010June,44673,6,2010,9.5
2010July,44853,7,2010,9.4
2010August,44667,8,2010,9.3
2010September,44276,9,2010,9.3
2010October,45720,10,2010,9.2
2010November,41700,11,2010,9.2
2010December,36568,12,2010,9.9
2011January,38185,1,2011,8.9
2011February,36557,2,2011,8.8
2011March,42231,3,2011,8.8
2011April,41165,4,2011,8.8
2011May,43835,5,2011,8.8
2011June,43955,6,2011,8.9
2011July,44628,7,2011,9
2011August,43161,8,2011,9.1
2011September,41205,9,2011,9.2
2011October,41869,10,2011,9.4
2011November,41398,11,2011,9.4
2011December,40387,12,2011,9.5
2012January,41568,1,2012,9.5
2012February,39247,2,2012,9.5
2012March,43537,3,2012,9.6
2012April,41720,4,2012,9.6
2012May,44947,5,2012,9.5
2012June,43204,6,2012,9.4
2012July,45294,7,2012,9.3
2012August,45929,8,2012,9.2
2012September,42602,9,2012,9.1
2012October,41906,10,2012,9
2012November,35490,11,2012,8.9
2012December,38897,12,2012,8.9
2013January,40357,1,2013,8.9
2013February,35364,2,2013,8.8
2013March,39198,3,2013,8.8
2013April,40441,4,2013,8.7
2013May,42802,5,2013,8.7
2013June,41823,6,2013,8.8
2013July,44689,7,2013,8.8
2013August,44487,8,2013,8.8
2013September,43234,9,2013,8.7
2013October,44751,10,2013,8.6
2013November,40410,11,2013,8.4
2013December,39686,12,2013,8.2
2014January,38884,1,2014,8
2014February,34419,2,2014,7.9
2014March,40895,3,2014,7.8
2014April,40017,4,2014,7.7
2014May,44254,5,2014,7.5
2014June,42769,6,2014,7.3
2014July,44913,7,2014,7.1
2014August,44626,8,2014,6.9
2014September,43329,9,2014,6.8
2014October,44281,10,2014,6.7
2014November,37805,11,2014,6.6
2014December,35127,12,2014,6.5
2015January,34533,1,2015,6.4
2015February,31540,2,2015,6.3
2015March,38023,3,2015,6.2
2015April,39846,4,2015,6
2015May,42321,5,2015,5.8
2015June,41662,6,2015,5.6
2015July,44379,7,2015,5.5
2015August,45096,8,2015,5.3
2015September,41942,9,2015,5.3
2015October,41250,10,2015,5.3
2015November,38995,11,2015,5.3
2015December,38991,12,2015,5.3
